Année de diagnostic,Province et Territoire,Valeur,Indicateur
2019,NL,0.006,Retard dans la présentation
2013,PE,0.057,Retard dans la présentation
2014,PE,0.015,Retard dans la présentation
2015,PE,0.010,Retard dans la présentation
2016,PE,0.033,Retard dans la présentation
2017,PE,0.032,Retard dans la présentation
2018,PE,0.015,Retard dans la présentation
2019,PE,0.003,Retard dans la présentation
2013,NS,0.022,Retard dans la présentation
2014,NS,0.099,Retard dans la présentation
2015,NS,0.042,Retard dans la présentation
2016,NS,0.032,Retard dans la présentation
2017,NS,0.079,Retard dans la présentation
2018,NS,-0.001,Retard dans la présentation
2019,NS,Pas de données,Retard dans la présentation
2013,NB,0.027,Retard dans la présentation
2014,NB,0.029,Retard dans la présentation
2015,NB,0.027,Retard dans la présentation
2016,NB,0.027,Retard dans la présentation
2017,NB,0.026,Retard dans la présentation
2018,NB,0.016,Retard dans la présentation
2019,NB,0.009,Retard dans la présentation
2013,QC,Pas de données,Retard dans la présentation
2014,QC,Pas de données,Retard dans la présentation
2015,QC,Pas de données,Retard dans la présentation
2016,QC,Pas de données,Retard dans la présentation
2017,QC,Pas de données,Retard dans la présentation
2018,QC,Pas de données,Retard dans la présentation
2019,QC,Pas de données,Retard dans la présentation
2013,ON,-0.004,Retard dans la présentation
2014,ON,0.016,Retard dans la présentation
2015,ON,0.002,Retard dans la présentation
2016,ON,0.042,Retard dans la présentation
2017,ON,0.039,Retard dans la présentation
2018,ON,-0.009,Retard dans la présentation
2019,ON,-0.010,Retard dans la présentation
2013,MB,0.008,Retard dans la présentation
2014,MB,0.012,Retard dans la présentation
2015,MB,0.008,Retard dans la présentation
2016,MB,0.020,Retard dans la présentation
2017,MB,0.052,Retard dans la présentation
2018,MB,0.039,Retard dans la présentation
2019,MB,0.021,Retard dans la présentation
2013,SK,0.028,Retard dans la présentation
2014,SK,0.034,Retard dans la présentation
2015,SK,0.026,Retard dans la présentation
2016,SK,0.020,Retard dans la présentation
2017,SK,0.032,Retard dans la présentation
2018,SK,0.011,Retard dans la présentation
2019,SK,0.012,Retard dans la présentation
2013,AB,0.020,Retard dans la présentation
2014,AB,0.026,Retard dans la présentation
2015,AB,0.025,Retard dans la présentation
2016,AB,0.036,Retard dans la présentation
2017,AB,0.036,Retard dans la présentation
2018,AB,0.011,Retard dans la présentation
2019,AB,0.011,Retard dans la présentation
2013,BC,0.076,Retard dans la présentation
2014,BC,0.086,Retard dans la présentation
2015,BC,0.028,Retard dans la présentation
2016,BC,0.008,Retard dans la présentation
2017,BC,0.014,Retard dans la présentation
2018,BC,0.016,Retard dans la présentation
2019,BC,0.005,Retard dans la présentation
2013,YT,0.069,Retard dans la présentation
2014,YT,0.099,Retard dans la présentation
2015,YT,0.018,Retard dans la présentation
2016,YT,0.103,Retard dans la présentation
2017,YT,0.028,Retard dans la présentation
2018,YT,0.015,Retard dans la présentation
2019,YT,0.005,Retard dans la présentation
2013,NT,0.029,Retard dans la présentation
2014,NT,0.028,Retard dans la présentation
2015,NT,0.032,Retard dans la présentation
2016,NT,0.016,Retard dans la présentation
2017,NT,0.060,Retard dans la présentation
2018,NT,0.038,Retard dans la présentation
2019,NT,0.005,Retard dans la présentation
2013,NU,0.000,Retard dans la présentation
2014,NU,0.000,Retard dans la présentation
2015,NU,0.056,Retard dans la présentation
2016,NU,0.056,Retard dans la présentation
2017,NU,0.011,Retard dans la présentation
2018,NU,0.000,Retard dans la présentation
2019,NU,0.014,Retard dans la présentation
2018,Canada,82.507,Stade - colorectal
2019,Canada,89.388,Stade - colorectal
2020,Canada,73.385,Stade - colorectal
2018,NL,73.974,Stade - colorectal
2019,NL,99.319,Stade - colorectal
2020,NL,95.161,Stade - colorectal
2018,PE,100.000,Stade - colorectal
2019,PE,100.000,Stade - colorectal
2020,PE,100.000,Stade - colorectal
2018,NS,94.548,Stade - colorectal
2019,NS,0.558,Stade - colorectal
2020,NS,0.000,Stade - colorectal
2018,NB,95.666,Stade - colorectal
2019,NB,93.231,Stade - colorectal
2020,NB,94.991,Stade - colorectal
2018,QC,0.000,Stade - colorectal
2019,QC,0.000,Stade - colorectal
2020,QC,0.000,Stade - colorectal
2018,ON,70.917,Stade - colorectal
2019,ON,88.052,Stade - colorectal
2020,ON,51.073,Stade - colorectal
2018,MB,97.622,Stade - colorectal
2019,MB,97.674,Stade - colorectal
2020,MB,97.124,Stade - colorectal
2018,SK,92.776,Stade - colorectal
2019,SK,95.218,Stade - colorectal
2020,SK,92.144,Stade - colorectal
2018,AB,100.000,Stade - colorectal
2019,AB,100.000,Stade - colorectal
2020,AB,100.000,Stade - colorectal
2018,BC,99.767,Stade - colorectal
2019,BC,99.872,Stade - colorectal
2020,BC,99.964,Stade - colorectal
2018,YT,97.436,Stade - colorectal
2019,YT,93.939,Stade - colorectal
2020,YT,100.000,Stade - colorectal
2018,NT,100.000,Stade - colorectal
2019,NT,100.000,Stade - colorectal
2020,NT,100.000,Stade - colorectal
2018,NU,63.636,Stade - colorectal
2019,NU,60.000,Stade - colorectal
2020,NU,90.000,Stade - colorectal
2018,Canada,90.745,Stade - poumon
2019,Canada,93.297,Stade - poumon
2020,Canada,76.891,Stade - poumon
2018,NL,96.893,Stade - poumon
2019,NL,99.609,Stade - poumon
2020,NL,99.588,Stade - poumon
2018,PE,100.000,Stade - poumon
2019,PE,100.000,Stade - poumon
2020,PE,100.000,Stade - poumon
2018,NS,98.515,Stade - poumon
2019,NS,32.199,Stade - poumon
2020,NS,0.000,Stade - poumon
2018,NB,98.807,Stade - poumon
2019,NB,99.373,Stade - poumon
2020,NB,100.000,Stade - poumon
2018,QC,0.000,Stade - poumon
2019,QC,0.000,Stade - poumon
2020,QC,0.000,Stade - poumon
2018,ON,90.304,Stade - poumon
2019,ON,92.338,Stade - poumon
2020,ON,53.852,Stade - poumon
2018,MB,99.096,Stade - poumon
2019,MB,99.578,Stade - poumon
2020,MB,98.587,Stade - poumon
2018,SK,0.000,Stade - poumon
2019,SK,99.874,Stade - poumon
2020,SK,100.000,Stade - poumon
2018,AB,100.000,Stade - poumon
2019,AB,100.000,Stade - poumon
2020,AB,100.000,Stade - poumon
2018,BC,99.906,Stade - poumon
2019,BC,99.917,Stade - poumon
2020,BC,99.878,Stade - poumon
2018,YT,100.000,Stade - poumon
2019,YT,88.235,Stade - poumon
2020,YT,100.000,Stade - poumon
2018,NT,100.000,Stade - poumon
2019,NT,100.000,Stade - poumon
2020,NT,100.000,Stade - poumon
2018,NU,86.364,Stade - poumon
2019,NU,87.500,Stade - poumon
2020,NU,85.714,Stade - poumon
2018,Canada,87.318,Stade - sein
2019,Canada,87.234,Stade - sein
2020,Canada,72.742,Stade - sein
2018,NL,97.597,Stade - sein
2019,NL,97.547,Stade - sein
2020,NL,41.502,Stade - sein
2018,PE,100.000,Stade - sein
2019,PE,100.000,Stade - sein
2020,PE,100.000,Stade - sein
2018,NS,99.889,Stade - sein
2019,NS,0.214,Stade - sein
2020,NS,0.000,Stade - sein
2018,NB,99.855,Stade - sein
2019,NB,99.825,Stade - sein
2020,NB,99.357,Stade - sein
2018,QC,0.000,Stade - sein
2019,QC,0.000,Stade - sein
2020,QC,0.000,Stade - sein
2018,ON,82.581,Stade - sein
2019,ON,82.541,Stade - sein
2020,ON,50.924,Stade - sein
2018,MB,99.111,Stade - sein
2019,MB,99.362,Stade - sein
2020,MB,99.693,Stade - sein
2018,SK,0.000,Stade - sein
2019,SK,99.446,Stade - sein
2020,SK,99.482,Stade - sein
2018,AB,100.000,Stade - sein
2019,AB,100.000,Stade - sein
2020,AB,100.000,Stade - sein
2018,BC,99.954,Stade - sein
2019,BC,99.935,Stade - sein
2020,BC,100.000,Stade - sein
2018,YT,96.000,Stade - sein
2019,YT,95.652,Stade - sein
2020,YT,100.000,Stade - sein
2018,NT,100.000,Stade - sein
2019,NT,100.000,Stade - sein
2020,NT,100.000,Stade - sein
2018,NU,66.667,Stade - sein
2019,NU,28.571,Stade - sein
2020,NU,100.000,Stade - sein
2018,Canada,82.036,Stade - col de l'utérus
2019,Canada,87.137,Stade - col de l'utérus
2020,Canada,66.498,Stade - col de l'utérus
2018,NL,95.455,Stade - col de l'utérus
2019,NL,100.000,Stade - col de l'utérus
2020,NL,0.000,Stade - col de l'utérus
2018,PE,100.000,Stade - col de l'utérus
2019,PE,100.000,Stade - col de l'utérus
2020,PE,100.000,Stade - col de l'utérus
2018,NS,0.000,Stade - col de l'utérus
2019,NS,0.000,Stade - col de l'utérus
2020,NS,0.000,Stade - col de l'utérus
2018,NB,0.000,Stade - col de l'utérus
2019,NB,100.000,Stade - col de l'utérus
2020,NB,97.222,Stade - col de l'utérus
2018,QC,0.000,Stade - col de l'utérus
2019,QC,0.000,Stade - col de l'utérus
2020,QC,0.000,Stade - col de l'utérus
2018,ON,86.570,Stade - col de l'utérus
2019,ON,90.994,Stade - col de l'utérus
2020,ON,45.378,Stade - col de l'utérus
2018,MB,100.000,Stade - col de l'utérus
2019,MB,100.000,Stade - col de l'utérus
2020,MB,100.000,Stade - col de l'utérus
2018,SK,0.000,Stade - col de l'utérus
2019,SK,0.000,Stade - col de l'utérus
2020,SK,0.000,Stade - col de l'utérus
2018,AB,100.000,Stade - col de l'utérus
2019,AB,100.000,Stade - col de l'utérus
2020,AB,100.000,Stade - col de l'utérus
2018,BC,100.000,Stade - col de l'utérus
2019,BC,100.000,Stade - col de l'utérus
2020,BC,100.000,Stade - col de l'utérus
2018,YT,100.000,Stade - col de l'utérus
2019,YT,100.000,Stade - col de l'utérus
2020,YT,100.000,Stade - col de l'utérus
2018,NT,100.000,Stade - col de l'utérus
2019,NT,100.000,Stade - col de l'utérus
2020,NT,100.000,Stade - col de l'utérus
2018,NU,75.000,Stade - col de l'utérus
2019,NU,0.000,Stade - col de l'utérus
2020,NU,0.000,Stade - col de l'utérus
2018,Canada,93.495,Stade - prostate
2019,Canada,94.817,Stade - prostate
2020,Canada,78.566,Stade - prostate
2018,NL,98.472,Stade - prostate
2019,NL,99.758,Stade - prostate
2020,NL,0.309,Stade - prostate
2018,PE,100.000,Stade - prostate
2019,PE,100.000,Stade - prostate
2020,PE,100.000,Stade - prostate
2018,NS,99.266,Stade - prostate
2019,NS,1.471,Stade - prostate
2020,NS,0.000,Stade - prostate
2018,NB,100.000,Stade - prostate
2019,NB,100.000,Stade - prostate
2020,NB,100.000,Stade - prostate
2018,QC,0.000,Stade - prostate
2019,QC,0.000,Stade - prostate
2020,QC,0.000,Stade - prostate
2018,ON,94.583,Stade - prostate
2019,ON,95.281,Stade - prostate
2020,ON,58.714,Stade - prostate
2018,MB,99.874,Stade - prostate
2019,MB,99.894,Stade - prostate
2020,MB,100.000,Stade - prostate
2018,SK,0.000,Stade - prostate
2019,SK,99.861,Stade - prostate
2020,SK,99.855,Stade - prostate
2018,AB,100.000,Stade - prostate
2019,AB,100.000,Stade - prostate
2020,AB,100.000,Stade - prostate
2018,BC,100.000,Stade - prostate
2019,BC,99.972,Stade - prostate
2020,BC,100.000,Stade - prostate
2018,YT,91.667,Stade - prostate
2019,YT,93.548,Stade - prostate
2020,YT,100.000,Stade - prostate
2018,NT,100.000,Stade - prostate
2019,NT,100.000,Stade - prostate
2020,NT,100.000,Stade - prostate
2018,NU,100.000,Stade - prostate
2019,NU,0.000,Stade - prostate
2020,NU,100.000,Stade - prostate
